Date,Impact,classes_-1,classes_1,roberta_neg,roberta_neu,roberta_pos,tweet_volume,+1D ETH,Price Diff ETH,ETH Volume,ETH_close
2020-05-21,14025,8,32,0.13376948940672131,0.4115988091311475,0.45463169276229504,36198.0,1,7.285589071999993,13308321228.8459,199.883605552
2020-05-22,12572,8,23,0.14244931430428573,0.41911987141071433,0.4384308249107143,46283.0,1,1.525208219999996,12041592113.5988,207.169194624
2020-05-23,13661,9,21,0.19079750996730768,0.4449144269038462,0.3642880561961538,27771.0,0,-6.324051875000009,10665476767.6428,208.694402844
2020-05-24,1007,9,14,0.23416909408292683,0.4025967964634146,0.36323408651219513,30235.0,1,2.949399127000021,11833299571.9749,202.370350969
2020-05-25,24907,11,27,0.16632196282711864,0.3998684891694915,0.4338095567881356,34450.0,0,-3.4174400980000144,10415044123.5561,205.319750096
2020-05-26,16175,7,24,0.16761799365629632,0.3949853413703704,0.4373966627444444,30190.0,1,6.96111936600002,10159741290.3502,201.902309998
2020-05-27,701,9,15,0.1948202764254762,0.3632634684952381,0.4419162469285714,34046.0,1,10.977001959999996,10631034756.4509,208.863429364
2020-05-28,48267,5,35,0.09435556012268657,0.37287448637313436,0.5327699497805971,38537.0,1,0.8346929509999939,12212469603.9905,219.840431324
2020-05-29,12219,9,28,0.13649143973913794,0.39022064251724137,0.4732878929810345,34052.0,1,21.670465914000005,12265816557.4289,220.675124275
2020-05-30,13453,8,23,0.1840565613711111,0.34140637986666666,0.47453707103333337,29372.0,0,-11.369889333000003,15027397866.509,242.345590189
2020-05-31,1925,11,10,0.28041037914864864,0.411100889027027,0.30848873634324325,28806.0,1,16.016059471000005,12234904813.3392,230.975700856
2020-06-01,15822,9,33,0.14949246718757142,0.39560415059285714,0.45490338513714285,34801.0,0,-9.772698794000007,13951727936.4523,246.991760327
2020-06-02,7932,11,27,0.16414426045507247,0.44967712495507245,0.386178609268116,48257.0,1,6.960262513999993,13782107566.7125,237.219061533
2020-06-03,18589,3,21,0.06966909590534884,0.4264944139302326,0.5038364905581395,32772.0,1,0.2470635280000124,9861760817.12703,244.179324047
2020-06-04,40268,8,36,0.11094838937315069,0.41391570520547943,0.47513589452054794,33808.0,0,-3.2043958170000053,10170414303.5273,244.426387575
2020-06-05,-4036,8,17,0.16554704172857143,0.48734590846428577,0.34710704767499995,31415.0,1,0.7093283629999974,9293963913.72746,241.221991758
2020-06-06,7411,5,22,0.14251038036086958,0.40548564954347827,0.45200396591739134,26066.0,1,3.2359390230000145,8114873844.8001,241.931320121
2020-06-07,3648,2,12,0.12745967125,0.48425840736666664,0.38828191333333334,26035.0,1,1.1426394149999908,9544883157.42203,245.167259144
2020-06-08,9160,13,36,0.17159590454678572,0.40335888223809524,0.42504520160952386,30802.0,0,-1.3984447340000088,8076783298.94849,246.309898559
2020-06-09,14609,5,28,0.10357228438596154,0.4120868274230769,0.48434088595,33586.0,1,2.5334899070000176,8446545787.72598,244.911453825
2020-06-10,19750,3,44,0.06203924454575001,0.40687868875,0.5310820456,35740.0,0,-15.742274311000015,8792990205.54989,247.444943732
2020-06-11,6323,15,22,0.2162536812121875,0.4060030654765625,0.3777432487953125,34444.0,1,5.790540863000018,12356528860.4776,231.702669421
2020-06-12,12759,8,26,0.14551252239019608,0.4189083520392157,0.435579109,34530.0,1,1.4156325129999914,8868955009.12327,237.493210284
2020-06-13,3839,11,12,0.24625876273809524,0.4239527463571428,0.3297884956666667,30524.0,0,-4.794147584000001,7141624979.75205,238.908842797
2020-06-14,2500,7,15,0.18770844670869566,0.4853434045869566,0.3269481400673913,24592.0,0,-4.185793453999992,7439385176.17291,234.114695213
