Date,Impact,classes_-1,classes_1,roberta_neg,roberta_neu,roberta_pos,tweet_volume,+1D BTC,Price Diff BTC,BTC Volume,BTC_close
2020-03-15,-5384,28.0,27.0,28.6365785484,54.893179669,31.4702426658,22102.0,0,-377.83490253999935,33997889638.762,5392.31488002
2020-03-16,8105,25.0,32.0,30.73642179115,54.814172373,36.4494048668,27432.0,1,211.1492151099992,45368026429.6205,5014.47997748
2020-03-17,14487,30.0,46.0,31.60813294447,56.890196255,47.50166907,26159.0,1,12.809384050000515,38622642935.2466,5225.62919259
2020-03-18,7375,35.0,32.0,36.92557671436,59.75290203,38.3215212223,26644.0,1,952.7543755799998,37878801016.3368,5238.43857664
2020-03-19,1846,34.0,42.0,39.24514707107,77.037586666,48.7172644695,29033.0,1,7.585252859999855,51000731797.4328,6191.19295222
2020-03-20,12734,22.0,30.0,25.8280499543,52.188310355,34.9836400675,28150.0,0,-13.71169006999935,54442976102.5119,6198.77820508
2020-03-21,6067,16.0,23.0,17.4655676285,39.227977253,25.306455237599998,25403.0,0,-354.8117173600004,42494390879.6104,6185.06651501
2020-03-22,1840,16.0,18.0,16.15096903325,29.400918689,19.4481112091,27844.0,1,586.05996074,40099664740.0619,5830.25479765
2020-03-23,5629,21.0,28.0,24.68077722275,57.7541337656,33.565088726,28657.0,1,318.48902206,46491915999.7158,6416.31475839
2020-03-24,19763,24.0,36.0,24.4682693333,55.257171471,37.274557717,31076.0,0,-53.74065389000043,48221910672.248,6734.80378045
2020-03-25,-4117,27.0,27.0,25.5420857918,45.384170485,28.0737433103,26878.0,1,35.37742210000033,44590107887.9421,6681.06312656
2020-03-26,15256,17.0,27.0,19.70929424888,36.694226115,28.596479279,24772.0,0,-246.64241356999992,35319797641.53,6716.44054866
2020-03-27,8998,17.0,23.0,18.32830403881,32.579979321,23.091714765,24128.0,0,-227.60426669000023,34585598366.5512,6469.79813509
2020-03-28,4690,12.0,21.0,14.8145037326,32.943333106,22.2421631782,20983.0,0,-320.1507456999998,34885225901.0064,6242.1938684
2020-03-29,10787,15.0,22.0,13.56805553475,28.792544629,22.639400214200002,22187.0,1,507.7988111900004,28373690930.5441,5922.0431227
2020-03-30,17250,18.0,35.0,18.30226267658,37.6062242755,36.091511899,24425.0,1,8.802832479999779,37101651525.2979,6429.84193389
2020-03-31,14350,17.0,28.0,16.9942655961,45.6129651535,30.3927689236,24944.0,1,168.13150192000012,32786468812.0812,6438.64476637
2020-04-01,9168,15.0,40.0,17.71605703143,46.557070085999996,43.7268734995,27700.0,1,186.8483281299996,40346426265.7324,6606.77626829
2020-04-02,58012,21.0,43.0,23.13234961014,49.140051324,42.7275980956,29947.0,0,-60.23720581999987,47660646124.4133,6793.62459642
2020-04-03,18564,20.0,33.0,19.9060196534,41.888163383,34.205817353,33185.0,1,134.13992536000023,38976504902.968,6733.3873906
2020-04-04,-4276,10.0,21.0,11.349875411,29.660172535,21.989950494,28502.0,0,-76.39787503000025,33185988583.8042,6867.52731596
2020-04-05,-77746,34.0,36.0,31.298404012,42.183956136,34.5176400307,25533.0,1,480.6517117700005,29510409856.1053,6791.12944093
2020-04-06,14385,15.0,34.0,18.71857497661,60.685085427,38.596339108,32118.0,0,-95.3666522100002,46896904614.9285,7271.7811527
2020-04-07,-2768,21.0,34.0,19.8424085401,48.030988182,39.1266032194,32171.0,1,157.68395297000006,44243482667.8499,7176.41450049
2020-04-08,2942,21.0,23.0,23.2803074053,49.958380406,28.7613111154,30033.0,0,-32.00894296000024,37563249548.9382,7334.09845346
2020-04-09,20429,29.0,51.0,24.46293464886,43.138181615,44.3988832365,29133.0,0,-436.5961385499995,34815139177.5936,7302.0895105
2020-04-10,10094,16.0,26.0,17.4777185249,38.425883977,27.0963977964,28128.0,0,-6.410408520000601,43622840991.71,6865.49337195
2020-04-11,868,10.0,19.0,13.27096850703,31.09165,21.6373809263,22432.0,1,112.00862765000056,31222085946.2734,6859.08296343
2020-04-12,7680,12.0,18.0,12.953464200700001,27.292293368,19.7542428658,23749.0,0,-126.05389425000068,35759567632.2851,6971.09159108
2020-04-13,2969,18.0,29.0,18.568104558399998,39.480857294,29.951037947,26814.0,0,-2.609835859999293,38619308647.4394,6845.03769683
2020-04-14,21910,12.0,28.0,15.22555338507,43.158884388,31.6155622425,31671.0,0,-200.31796811000004,34110434051.8629,6842.42786097
2020-04-15,25999,14.0,39.0,14.4035423644,37.4145288975,38.1819283476,28889.0,1,474.6943249099995,32288311030.7598,6642.10989286
2020-04-16,15126,23.0,50.0,22.51934105224,52.2909943105,46.189663393000004,30583.0,0,-20.619558979999965,46783242376.7001,7116.80421777
2020-04-17,-15816,22.0,30.0,23.86715219346,48.516958529,33.6158891626,28790.0,1,161.4801996799997,32513423567.4314,7096.18465879
2020-04-18,16194,11.0,38.0,14.8877099282,47.479705516,37.632584251,25279.0,0,-68.24003490999985,32447188385.9262,7257.66485847
2020-04-19,4967,19.0,23.0,18.5518756737,33.990901146,23.4572217817,25819.0,0,-307.4661308099994,31311210215.3203,7189.42482356
2020-04-20,-22865,40.0,28.0,38.7071365567,58.412625166,32.8802380328,34822.0,0,-1.6352190000006883,37747113935.8454,6881.95869275
2020-04-21,5321,20.0,30.0,21.55273853861,45.234876156,33.212383765,32492.0,1,236.88400494000047,32589741510.7266,6880.32347375
2020-04-22,2568,22.0,29.0,20.3319162491,44.897529848,29.770553798199998,30981.0,1,312.5171705799994,33249153865.7605,7117.20747869
2020-04-23,20009,17.0,49.0,19.40035866514,49.726505639,51.873133684,35498.0,1,121.17637798000032,43500782316.0712,7429.72464927
2020-04-24,23456,15.0,39.0,15.5578648296,40.14332477,40.2988107114,32567.0,1,19.035006799999792,34636526285.7972,7550.90102725
2020-04-25,22829,12.0,18.0,15.65089481955,40.478187613,21.8709179713,33355.0,1,109.93117016999986,32941541446.9347,7569.93603405
2020-04-26,2946,13.0,28.0,16.05742610635,39.868869703,28.073702695999998,33495.0,1,115.73363029000028,33070154490.749,7679.86720422
2020-04-27,19577,18.0,48.0,19.78966754697,54.419196688,46.7911347922,39379.0,1,11.45761655000024,36162144724.7077,7795.60083451
2020-04-28,39371,24.0,41.0,25.90115225307,60.912639312,45.186208014,41546.0,1,993.9793158199992,33187959920.9249,7807.05845106
